pop,indiv,flw_size,poll_trt,frtset
BSM,BSM1C-1.A,SF,X,1
BSM,BSM1C-6.B,SF,X,0
CAM,CAM1C-1.B,SF,X,1
CAM,CAM1C-3.A,SF,X,0
CAM,CAM1C-5.B,SF,X,1
CAM,CAM1C-7.A,SF,X,0
CAM,CAM1C-7.B,SF,X,1
CAM,CAM1C-8.B,SF,X,0
CAM,CAM1C-10.A,SF,X,1
CAM,CAM1C-11.A,SF,X,1
CAM,CAM1C-12.A,SF,X,1
CAS,CAS1C-5.B,SF,X,1
CAS,CAS1C-21.A,SF,X,1
CAS,CAS1C-21.B,SF,X,1
CAS,CAS1C-23.A,SF,X,1
CAS,CAS1C-23.B,SF,X,1
CAS,CAS1C-25.A,SF,X,1
CAS,CAS1C-26.A,SF,X,1
CAS,CAS1C-28.A,SF,X,1
CAS,CAS1C-29.B,SF,X,1
CGB,CGB1C-23.B,SF,X,1
CGB,CGB1C-33.B,SF,X,1
CGN2,CGN2C-3.A,SF,X,1
CGN2,CGN2C-3.B,SF,X,0
CGN2,CGN2C-9.A,SF,X,1
CGN2,CGN2C-11.B,SF,X,1
CGN2,CGN2C-15.B,SF,X,1
CGN2,CGN2C-16.B,SF,X,0
CGN2,CGN2C-27.B,SF,X,1
CLL,CLL1C-7.A,SF,X,1
CLL,CLL1C-11.B,SF,X,1
CLL,CLL1C-40.B,SF,X,1
CLL,CLL1C-70.B,SF,X,0
CMA,CMA1C-3.A,SF,X,1
CMA,CMA1C-4.A,SF,X,1
CMA,CMA1C-5.A,SF,X,1
CMA,CMA1C-7.A,SF,X,1
CMA,CMA1C-8.B,SF,X,1
CMA,CMA1C-12.B,SF,X,1
CMA,CMA1C-14.B,SF,X,0
CMA,CMA1C-16.B,SF,X,1
CMA,CMA1C-19.B,SF,X,1
CMA,CMA1C-21.B,SF,X,0
CMA,CMA1C-25.B,SF,X,1
CMC,CMC1C-2.A,SF,X,1
CMC,CMC1C-33.B,SF,X,1
CMC,CMC1C-57.A,SF,X,1
CMC,CMC1C-58.B,SF,X,1
